ID|이름|대사
301|프롤로그|먼 옛날, 신과 인간이 함께 살아가는 시대 
|프롤로그|생명이 있는 모든 존재들은 음악을 사랑했다.
302|프롤로그|특히 '락'이라는 장르는 ‘신 들렸다!’ 라는 표현이 사용될 정도로 이들이 가장 좋아하는 음악 장르였다.
|프롤로그|대 락의 시대에서 가장 사랑받는 이는 바로 락의 신 '락르페우스'였다.
303|프롤로그|그가 공연하는 곳마다 많은 사람들이 모였으며 심지어는 바위와 요정도 그의 공연을 보러왔다.
|프롤로그|그는 자신의 아내인 음향의 요정 '엠프리디케'와 서로 사랑을 하며 숲 속에 살고 있었고
|프롤로그|곧 열릴 천하제일 락 대회를 준비 중이였다…
304|엠프리디케|여보~ 정령과 요정들에게 락 대회를 준비하기 위한 조언들을 좀 듣고 올게~
305|락르페우스|조심히 다녀와~ 오늘 저녁은 내가 준비할테니까 얼른 돌아와야해!
306|엠프리디케|응! 맛있는 밥 기대할게~
307|락르페우스|흠.. 슬슬 엠프리디케가 올때가 됐는데…
||왜 오지 않지..?
308|-|그의 불안함은 틀리지 않았다.
309|락르페우스|엠프리디케! 무슨일이야! 어떻게 된거야!!
310|엠프리디케|저 하얀 독사가... 나를…
||몸에 힘이 빠지는데.. 나 혹시 죽는걸.. 까..?
311|락르페우스|그런 말 하지마 여보. 내가 당장 의사를…
312|엠프리디케|락르페우스... 
313|-|엠프리디케의 눈이 감겼다.
||그녀의 몸에서 나온 영혼이 하늘로 떠올라 숲 위로 멀리 나아갔다.
||이내 락르페우스는 엠프리디케의 죽음을 직감하고 절규했다.
314|락르페우스|안돼 !!!!!!!!!
||이건 말도 안되는 일이야!!
||엠프리디케가… 내 곁을 떠나다니…
315|-|슬픔에 찬 락르페우스의 연주가 숲 속에 울려퍼지자 많은 생명체들이 그 음악에 반응했다.
316|나무|락르페우스. 무슨 일이 있길래 이렇게 슬픈 음악을 연주하는거야? 동물들이 아주 난리야.
317|락르페우스|… 내 아내 엠프리디케가 하얀 독사에게 물려 그만…
318|나무|이런… 그랬구나… 그렇다면 하데스를 찾아가보는게 어때?
||영혼들은 전부 지하세계의 하데스가 관리하고 있거든.
319|락르페우스|!!!
||지하세계로 가면 엠프리디케를 찾을 수 있는건가? 지하세계는 어디로 가지?
320|나무|음... 숲 끝에 하데스의 신전이 있다고 들었어. 
||그 곳으로 가면 하데스와 만날 수 있지 않을까?
321|락르페우스|정말 고마워! 당장 출발해야겠어!
21|락르페우스|내 슬픈 음악이 숲의 동물들을 화나게 만들었나?
22|락르페우스|저 앞에 뭔가 보이는 것 같아.
23|락르페우스|여기가 하데스의 신전인가...? 무슨 성같군.
||아니 감탄할 때가 아니지. 얼른 하데스를 찾아야 해.
24|락르페우스|앗, 저게 뭐지?
25|메모|저는 지금 천하제일 락 대회 준비를 위해 
||지옥에서 지옥훈련을 하고있습니다.
||현재 부재중이니 저를 만나고 싶으시다면 연락처를 남기거나
||앞에 있는 동굴을 통해 지하세계로 와주시기 바랍니다.
26|락르페우스|결국 지하세계까지 가야 하는건가…
||하지만 여기서 멈출 수 없어 아내만 만날 수 있다면..
27|-|그렇게 락르페우스는 지하세계로 가는 문으로 뛰어들었다..
28|락르페우스|이런 거대한 동굴이라니… 무사히 엠프리디케를 찾을 수 있을까…?
29|-|멀리서부터 지하세계의 정령들의 울부짖는 소리가 들려왔다.
30|지하세계 정령|쿠웨에에엑!!!!
31|지하세계 정령|크어어엉~!!!
32|락르페우스|큭... 하지만 나아가야 해.
||엠프리디케를 구하기 위해서!!
33|락르페우스|여기에 엠프리디케가 있는 게 맞겠지?
||조금만 기다려줘. 내가 구하러 갈게. 엠프리디케!
34|-|락르페우스는 아내를 찾기 위한 마음을 다잡으며 앞으로 나아갔다.
35|-|지하세계 신전은 삼엄한 분위기를 내뿜었고 바닥에서는 용암들이 들끓었다.
36|락르페우스|여기는 누가봐도 지옥이잖아... 이런 곳에 진짜 영혼이 갇혀 있는걸까..?
||혹시 하데스의 함정에 빠져버린건 아니겠지..?
||일단 가보자.
37|락르페우스|문이 왜 막혀 있지?
38|-|문은 단단히 막혀있어 락르페우스가 안간힘을 써봐도 열리지 않았다.
39|락르페우스|왜 열리지 않는거야…
40|??? |어이 거기 슬퍼보이는 자여~ 그 너머는 물리적인 힘으로 갈 수가 없다네.
41|락르페우스|앗?! 
||당신은 누구죠? 혹시 이 안에 들어갈 수 있는 방법을 아시나요?
42|지옥관리인|나는 이곳의 출입을 담당하고 지옥을 관리하는 지옥관리인이다!
43|락르페우스|지옥을 관리하는건 하데스 아닌가요?
44|지옥관리인|맞다. 사실 지옥을 관리하는건 하데스다..
45|락르페우스|그럼 헛소리 하지말고 어서 들어가는 방법을 알려줘!
46|지옥관리인|우선 이 신전에 있는 3개의 레버를 작동시켜라. 그러면 열릴 것이다..
47|-|그렇게 지옥관리인은 자기 할 말만 말하고는 사라졌다..
48|락르페우스|…
49|락르페우스|드디어 엠프리디케를 구할 수 있어!!
50|-|신전 안 쪽 하데스의 업무실
51|-|락르페우스는 하데스에게 용기내어 말을 걸었다.
52|락르페우스|하데스님!! 부탁이 있습니다!!
||제 아내가 억울하게 죽었습니다!! 제발 살려주십시오!!
53|하데스 |하하하!! 
||너같은 부탁을 하는 생각없는 놈들이 수두룩 하.. 
||아니 잠시만..
||너는 락르페우스?!
||여기까지 찾아오다니…
||나와 그렇게 빨리 락 배틀을 하고싶었던 게냐!! 하하 !!
54|락르페우스|아닙니다. 제 아내인 엠프리디케가 숲 속에서 산책을 하다 독사에게 물려 죽어서…
||그래서 저는 그녀의 영혼을 찾으러 왔습니다!
55|하데스|....
||방금 뭐라고 했지?
56|락르페우스|영혼을 찾으러 왔습니다!
57|하데스|아니 그 전.
58|락르페우스|아내인 엠프리디케가 숲 속에서 산책을!
59|하데스 |다음.
60|락르페우스|독사에게 물려 죽었다?
61|하데스 |독사에게 물려 죽었다..?
||어디서 많이 들은 레파토리인데...
||혹시 그 독사가 하얀색의 독사였나..?
62|락르페우스|어떻게 아셨죠? 
||그녀의 숨이 끊기기 전...하얀 독사가 자신을 물었다고 전해주었습니다.
63|하데스 |혹시 김비서... 
||자네인가..?
64|김비서|앗... 그...그게...
65|하데스 |김비서!!!!!!!!!
||도대체 왜 그런것인가!! 신은 신의 죽음에 관여하면 안되는걸 잊었나!!
66|김비서|저는...그... 신이 아니기도 하고...
||하데스님이 엠프리디케와 공연을 하시면... 더 좋을 것 같아서...
67|하데스 |고작 그런 이유 때문에 신을 죽이다니...
68|김비서|사실 엠프리디케도 신이 아니고 요정이긴 합니다만...
69|하데스|....
70|락르페우스|잠시만요.
||그럼 제 아내를 살려주실 수 있으십니까?
71|하데스 |아니. 이미 지하세계로 들어온 영혼을 마음대로 살려줄 순 없다.
||지하세계에는 법도가 있는 법.
||내가 직접 엠프리디케의 죽음에 관여한것도 아니고
72|락르페우스|하지만 당신들이 잘못해서 벌어진 일 아닙니까!
||정말 방법이 없는 것입니까?
||그렇다면 차라리 저도 여기서 죽겠습니다...
73|악마A|흑...너무 슬퍼...
74|악마B|엉엉엉
75|-|락르페우스가 슬픔을 연주하자 지하세계의 모든 존재들이 슬픔에 잠겨 정신을 못차렸다.
76|하데스 |그만! 그만!! 
||이러다 지하세계가 전부 망가지겠군.
||사실 방법이 아주 없는 것은 아니다.
77|락르페우스|엠프리디케를 살릴 수 있다면 뭐든지 하겠습니다!
78|하데스 |요즘 신들끼리의 승부는 전부 락으로 진행된다는 것은 알고 있겠지?
||엠프리디케 없이 나와 락 대결을 해서 이긴다면 그녀를 다시 살려주겠다.
79|락르페우스|정말입니까?!
80|하데스 |그래! 난 지금 대회를 위해 지옥훈련중이고 
||어차피 지금 너한테 진다면 대회 우승도 쉬운 일은 아닐테니까 말이지.
81|락르페우스|좋습니다... 지금껏 듣지 못한 최고의 연주를 들려드리겠습니다!!
||(기다려 엠프리디케.. 너를 꼭 구해줄게!!!!)
82|하데스 |오호라~ 좋다. 락르페우스! 그럼 나도 최고전력으로 연주해주지!
83|-|그렇게 그 둘의 락 배틀은 시작 되었다.
84|하데스 |대단해~ 이게 너의 실력인가!! 하하하!!
85|-|락르페우스의 연주를 들은 악마들의 목소리가 들려왔다.
86|악마A|오... 여긴 지옥이 아니라...
||천국...?
||Jesus.. Christ…
87|악마B|Holy Shit!!
88|악마C|Oh My God ~!!
89|-|그의 연주를 들은 몇몇 악마들이 스스로 잿더미가 되어 사라졌다.
90|하데스 |정말 대단하군 락르페우스!! 악마 스스로 성불까지 시키다니...
||이 정도면 인정할 수밖에 없군. 약속대로 아내를 다시 살려주지. 
||천하제일 락 대회에서 보자구. 그 때는 호락호락하지 않을 거야.
91|-|하데스는 엠프리디케의 영혼을 불러왔다.
||엠프리디케의 영혼이 잠시 빛나더니 곧 다시 인간의 형체를 가졌다.
92|엠프리디케|나.. 다시 살아난거야..?
93|락르페우스|엠프리디케!! 보고 싶었어 !!
94|엠프리디케|락르페우스!!
95|-|둘의 감동적인 재회도 잠시.
||어디선가 무너지는 소리가 들리기 시작했다.
96|락르페우스|어..? 무슨 소리지?
97|-|쿠구궁… 쿵
98|하데스|지하세계의 영혼들이 자신도 살려달라고 말하고 있군.
99||화를 입지 않으려면 빨리 이 곳에서 나가는게 좋을거야.
||그들에게 잡히는 건 나조차도 감당하기 어려운 일이기 때문이지.
100|락르페우스|!!!
||당장 나가자 엠프리디케!
101|-|락르페우스와 엠프리디케는 그들을 시기하는 지하세계의 영혼들을 피해서 달아나야 했다.
102|락르페우스|문이 보이고 있어. 엠프리디케! 조금만 힘내!
103|엠프리디케|앗! 락르페우스 잠시만…!
104|-|며칠 뒤...
105|엠프리디케|락르페우스!! 기타 챙겼어?
||대회에 늦겠어~
106|락르페우스|잠시만~ 편지가 왔는데?
107|엠프리디케|편지..? 어디서 온거야?
108|락르페우스|글쎄.. 
||어?! 하데스님한테서 온 편지네 읽어볼까..?
109|하데스의 편지|하하하!! 오랜만이군 락르페우스. 대회 준비는 잘 되가고 있나?
||너희들이 떠난 후로 지하세계에는 새로운 바람이 불었어.
||네가 성불시킨 악마들이 올림푸스에서 많은 얘기를 하고 다녔나 보더군.
||그때부터 올림푸스와 지하세계의 관계가 많이 유해졌어.
||그렇게 감정적으로 대립하고 서로 나뉘었던 곳이 자네 음악으로 하나가 됐다니!
||너의 음악은 그 어떠한 신들의 능력보다도 엄청나! 
||그 덕분인지 때문인지 모르겠지만 나는 바빠진 지하세계 일 때문에 이번 대회에 나가긴 어려울 것 같아.
||그럼 대회준비 열심히 하고 나중에 또 시간나면 지하세계에서 락 배틀을 하자구.
||이제 지하세계라고 말하기도 애매하게 된 것 같지만 말이야.
||어쨌든 수고해!    -하데스-
110|엠프리디케|지하세계와 올림푸스가 통합됐다니… 역시 내 남편이야.
111|락르페우스|네가 없었으면 못했을 일이지… 사랑해 엠프리디케…!
112|엠프리디케|나도…♥
113|락르페우스|그럼 빨리 대회장으로 가볼까?
114|엠프리디케|좋아!
115|-|다시 만난 둘은 천하제일 락 대회에서 최상의 호흡을 보여주었고 결국 우승까지 차지했다.
||락르페우스와 엠프리디케는 락의 가호 하에 행복한 삶을 누렸다.
117|-|락르페우스가 동굴에서 나오자마자 동굴 입구는 굳건하게 닫혀버렸다.
118|락르페우스|여보 괜찮아..? 잘 따라왔어..?
119|-|그러나 아무리 찾아봐도 엠프리디케의 모습은 온데간데 보이지 않았다.
120|락르페우스|어디있는거야!! 여보!! 
121|-|락르페우스가 동굴 입구를 아무리 두들겨도 문은 다시 열리지 않았다.
||혼자 남겨진 그는 또 다시 아내의 죽음을 직감했다.
122|락르페우스|젠..장 내가 어떻게든 구해준다고 했는데…
||나만 혼자 살아서 나오다니…
||아니야… 천하제일 락 대회에서 우승한다면 다시 엠프리디케를 만날 수 있을 지도 몰라..!
123|-|그는 그렇게 마음을 다잡고 집으로 돌아갔다.
||그렇게 시간이 흘러 대회 당일…
124|-|락르페우스는 혼자서 대회에 참가했다.
||하지만 아내를 잃은 슬픔을 영원히 잊을수는 없던 것일까.
||그는 대회에서 좋은 모습을 보여주었지만
||아쉽게도 2등이라는 성적을 거두었다.